web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,price,data6,data7,data8,data9,data10,data11,price2,price3,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15
"1773523726-1","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Male Libido Boost Chocolate Natural Energy & Vitality Support OEM ODM Private Label Bulk Supplier","Guangzhou Yocare Health Industry Co., Ltd.","1 yr","Min. order: 5000 boxes","16% reorder rate","$0.50-1","Chocolate","","","","≤11h response time","","","","","5.0","","5.0/5.0","(2)","","Chat now","","","","certified","CN","","","https://s.alicdn.com/@sc04/kf/Hdd9cfa0b4c1c4b989f742c0cf3bfa51bQ.png_300x300.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@sc04/kf/Haef259c4e6174b0e820f05108e54bfca7.png_100x100.png?webp=close&avif=close","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-2","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Royal Chocolate VIP Male Enhancement - Custom Packaging 2 Year Shelf Life OEM ODM Services","Guangxi Xingyao Chuangsheng Biotechnology Co., Ltd.","1 yr","Min. order: 100 boxes","31% reorder rate","$4.99-7.33","Chocolate","Enhancement","","","","","","","","4.4","","4.4/5.0","(34)","","Chat now","","","","","CN","","","https://s.alicdn.com/@sc04/kf/Sb98e0937db534c3e96342bb22103ec5by.jpg_300x300.jpg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-3","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Hot Selling Chocolate for Men Choco Royal Wholesale Gift Boxes for Choco Royal Chocolate Vip Male Sexual Enhancement","Guangzhou Yinchuang Trading Co., Ltd.","1 yr","Min. order: 1 box","100+ store reviews","$9","Chocolate","for","174 sold","for","11% reorder rate","200+ views from North America","","","≤2h response time","4.7","Lower priced than similar","4.7/5.0","(108)","","Chat now","Add to cart","Chocolate","Sexual","","CN","","","https://s.alicdn.com/@sc04/kf/H60fc36cf2ca24196a2cc09849808aec3f.jpg_300x300.jpg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-4","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Male Libido Boost Chocolate Natural Energy & Vitality Support OEM ODM Private Label Bulk Supplier","Guangzhou Yocare Health Industry Co., Ltd.","1 yr","Min. order: 5000 boxes","16% reorder rate","$0.50-1","Chocolate","","","","≤11h response time","","","","","5.0","","5.0/5.0","(2)","","Chat now","","","","certified","CN","","","https://s.alicdn.com/@sc04/kf/H3eead667092a4f32838dd61c3dc84a22f.png_300x300.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@sc04/kf/Haef259c4e6174b0e820f05108e54bfca7.png_100x100.png?webp=close&avif=close","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-5","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Wholesale Royal Chocolate Organic Enhancement Power Energy Persistence Desire Chocolate for Male","Shaanxi Jialinhui Trading Co., Ltd.","1 yr","Min. order: 1 box","100+ store reviews","$5.99-10.95","Chocolate","Enhancement","","Chocolate","22% reorder rate","≤2h response time","","","","4.7","","4.7/5.0","(13)","","Chat now","","for","","","CN","","","https://s.alicdn.com/@sc04/kf/Hed2c77e80df74899ae24b1b07d93a100h.png_300x300.png","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-6","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Hot Selling Label Design Shilajit Chocolate Dietary Supplement Boost Strength and Masculinity","Guangzhou Ludingji Biotechnology Co., Ltd.","8 yrs","Min. order: 500 pieces","100+ store reviews","$7-8","Chocolate","","","","26% reorder rate","≤6h response time","","","","4.7","","4.7/5.0","(22)","","Chat now","","","","","CN","","","https://s.alicdn.com/@sc04/kf/Hb2e61d4b995b4b52bcd49579e6f1f2f4g.jpg_300x300.jpg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-7","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Best Selling Dragon Power Candy Honey for Women Rh Choco Vip Chocolate Outer Packaging Oem Packages","Shenzhen Maikun Medical Equipment Co., Ltd.","2 yrs","Min. order: 10 packs","700+ store reviews","$5","for","Chocolate","21 sold","","13% reorder rate","≤8h response time","","","","4.8","","4.8/5.0","(51)","Delivery by Apr 13","Chat now","Add to cart","","","","CN","Easy Return","Delivery by Apr 13","https://s.alicdn.com/@sc04/kf/Hc26b84f958ba463182a4049154155ebcZ.jpg_300x300.jpg","","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-8","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Men's Maca Chocolate Coffee with Royal Honey Herbal Male Enhancer and Prostate Care Product - Boxed Sweet Ready-to-Drink Energy","Henan Yuanzi Tea Culture Communication Co., Ltd.","1 yr","Min. order: 100 pieces","12% reorder rate","$5.45-5.95","Chocolate","Enhancer","10 sold","","100+ views from North America","≤2h response time","","","","5.0","Easy Return","5.0/5.0","(3)","","Chat now","","","","","CN","","","https://s.alicdn.com/@sc04/kf/Hf46476ed1c104243be2a2880b9453d60t.jpg_300x300.jpg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-9","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Maca Chocolate Coffee with Royal Honey for Men-Herbal Male Enhancer & Prostate Support-Sweet Instant Energy Coffee in Box","Nanning Shushao Food Firm (Sole Proprietorship)","1 yr","Min. order: 1 piece","10% reorder rate","","Chocolate","for","3 sold","Enhancer","100+ views from North America","≤3h response time","$1.99-3.79","10% off","","4.2","","4.2/5.0","(14)","Lower priced than similar","Chat now","","","","","CN","Lower priced than similar","","https://s.alicdn.com/@sc04/kf/Hf46476ed1c104243be2a2880b9453d60t.jpg_300x300.jpg","","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523726-10","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Abink Coconut Palm Soft Ice Cream Powder Children's Chocolate with Aphrodisiac Flavor Dubai Ikolatasi Bag Packaging","Shanghai Lulu Technology Co., Ltd.","6 yrs","Min. order: 2000 pieces","≤8h response time","$1.50","Chocolate","","","","","","","","","","Easy Return","","","","Chat now","Add to cart","","","","CN","","","https://s.alicdn.com/@sc04/kf/Hfa8ce960d03c4398982d9d7e9b42addeD.png_300x300.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
