web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,price,data6,data7,data8,data9,data10,data11,price2,price3,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17
"1773523757-1","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Rhino Energy Chocolate - Boosts Time, Size & Stamina","Guangxi Maiyue International Technology Co., Ltd.","1 yr","Min. order: 3 boxes","200+ store reviews","$9.30-10.80","Chocolate","","14% reorder rate","","≤5h response time","","","","","4.7","","4.7/5.0","(118)","","Chat now","","","","","CN","","https://s.alicdn.com/@sc04/kf/Hfaf7258c0f9546df90af3bb5777f2f89u.jpg_300x300.jpg","","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-2","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Hot Sell Rhin'o Choco Vip With Dark Chocolate Vip Chocolate Sex Product for Male for Supplier","Guangzhou Yinchuang Trading Co., Ltd.","1 yr","Min. order: 54 boxes","100+ store reviews","$6.90-8.50","Chocolate","Chocolate","11% reorder rate","for","300+ views from North America","","","","≤2h response time","4.7","Easy Return","4.7/5.0","(108)","","Chat now","","for","","","CN","","https://s.alicdn.com/@sc04/kf/H2020edd979004f88b4b19eb3d1d5461f8.jpg_300x300.jpg","","","","","","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-3","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Hot Selling USA Stock Enhancement Chocolate for Men Field Mint Flavor Choco","Shaanxi Jialinhui Trading Co., Ltd.","1 yr","Min. order: 54 boxes","100+ store reviews","$7.50","Enhancement","Chocolate","22% reorder rate","for","≤2h response time","","","","","4.7","","4.7/5.0","(13)","","Chat now","","","","","CN","","https://s.alicdn.com/@sc04/kf/H8cdca4b522494e8e933fe4ddc308d545F.jpg_300x300.jpg","","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-4","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Cross Border Foreign Trade Raspberry Flavor Libido Booster Women Herbal Supplements Enhances Female Sexual Desire Supports OE M","Guangdong Teyi Health Industry Co., Ltd.","1 yr","Min. order: 1 unit","12% reorder rate","$2.50","Enhances","Sexual","200+ views from North America","","≤5h response time","11 sold","","","","4.8","Lower priced than similar","4.8/5.0","(23)","","Chat now","Add to cart","","","","CN","","https://s.alicdn.com/@sc04/kf/Hfdcdffa83d7e4f728bd47a6d7d661a7bc.jpg_300x300.jpg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01Qlzniu1tBJAdJ8zsY_!!6000000005863-2-tps-283-45.png?webp=close&avif=close","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-5","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Bigger Man Power Energy X Power Coffee Healthy Herbal Maca Epimedium Ginseng Extract Instant Coffee for Men's Sex Packaged Box","Nanning Shushao Food Firm (Sole Proprietorship)","1 yr","Min. order: 3 boxes","10% reorder rate","","for","","400+ views from North America","","≤3h response time","7 sold","$2.70-3.80","44% off","","4.2","","4.2/5.0","(14)","Easy Return","Chat now","","","","Lower priced than similar","CN","","https://s.alicdn.com/@sc04/kf/H290863e909bf404b965d1839ba37bbc77.jpg_300x300.jpg","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","","","","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-6","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Male Enhancement Gummies Improves Energy & Strength Gummies Men's Health Supplement","Shaanxi Pinyuan Biotechnology Co., Ltd.","1 yr","Min. order: 10 pieces","≤3h response time","$2.80","Enhancement","","","","","","","","","4.5","5-day dispatch","4.5/5.0","(8)","","Chat now","Add to cart","","","","CN","","https://s.alicdn.com/@sc04/kf/Ha862adee0c1b4439bc0d49aa842ba01b5.png_300x300.png","","","","","","","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-7","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","2025 Hot Selling Spanish Sexual Desire Enhancer Chewing Gum Exciting Liquid Orgasm Gel Sex Drops Gold Fly","Shenzhen Hongtai International Trade Co., Ltd.","2 yrs","Min. order: 10 boxes","100+ store reviews","$2.99-10","Sexual","Enhancer","10% reorder rate","","200+ views from North America","","","","≤4h response time","4.6","","4.6/5.0","(65)","","Chat now","","","","","CN","","https://s.alicdn.com/@sc04/kf/H0e22338fd5a34ef1acddd4c7dd68884aX.png_300x300.png","","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-8","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Private Label Male Enhancement Products OEM/ODM Energy Enhancer Male Vitality Men Health Food Supplement","Shenzhen Quanxin Biotechnology Co., Ltd.","2 yrs","Min. order: 100 pieces","50+ store reviews","$1.98-5.98","Enhancement","","60% reorder rate","","≤7h response time","","","","","4.5","","4.5/5.0","(18)","","Chat now","","","","","CN","","https://s.alicdn.com/@sc04/kf/Hdc2e252f374249c8ac17e5c07ac523aaL.jpg_300x300.jpg","","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-9","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Private Label Male Enlargement Pills Tablet Erectile Booster, Natural Herbal Supplement, Long-lasting Endurance See Results","Tuan International Trade (Guangxi) Co., Ltd.","1 yr","Min. order: 10 pieces","8% reorder rate","$5","","","≤2h response time","","","","","","","4.6","5-day dispatch","4.6/5.0","(11)","","Chat now","Add to cart","","","","CN","","https://s.alicdn.com/@sc04/kf/H06de15804ab24de882c0df2d9df3c9865.png_300x300.png","","","","","","","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523757-10","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Custom Wholesale Horny Goat Weed Gummies Herbal Supplement Energy Booster Male Enhancement Gummy","Qiaooushengyuan (guangzhou) Pharmaceutical Technology Co., Ltd.","2 yrs","Min. order: 500 boxes","300+ store reviews","$2.69","Enhancement","","18% reorder rate","","≤7h response time","","","","","4.7","","4.7/5.0","(61)","","Chat now","Add to cart","","certified","","CN","","https://s.alicdn.com/@sc04/kf/Ha964b17cb7564afa90616ca28205ad6a3.jpg_300x300.jpg","https://s.alicdn.com/@sc04/kf/Hdbbb6a106e8d4515be692063768d8fd4J.png_100x100.png?webp=close&avif=close","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
