web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,price,data6,data7,data8,data9,data10,data11,price2,data12,data13,data14,data15,data16,data17,data18,data19,data20,price3,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18
"1773523789-1","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","High Quality Men's Libido Booster Energy and Muscular Support Gummy Candy for Men","Guangzhou Kangmeihui Biological Technology Co., Ltd.","6 yrs","Min. order: 5 pieces","1600+ store reviews","$1.80-3","for","","23% reorder rate","","60 sold","≤6h response time","","","4.6","5% off $2,000","4.6/5.0","(560)","","CN","Chat now","","","","","certified","","","","https://s.alicdn.com/@sc04/kf/Hb3fbbf7af6114654979af962ae1db983h.jpg_300x300.jpg","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01mhQx6j25bfQson9wW_!!6000000007545-2-tps-56-56.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/Haef259c4e6174b0e820f05108e54bfca7.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-2","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","High Quality Female Libido Increase Cream Aphrodisiac Climax Stimulating Gel Orgasm Enhancement Product Sex Toys for Adult Women","Guangzhou Evol Industrial Co., Ltd.","6 yrs","Min. order: 3 pieces","6900+ store reviews","$1.86","Enhancement","for","16% reorder rate","","1 sold","≤3h response time","","","4.6","Easy Return","4.6/5.0","(459)","","CN","Chat now","Add to cart","","","","certified","","","","https://s.alicdn.com/@sc04/kf/Hac9037481dc146578d20a6e6d8ae09c09.png_300x300.png","","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@sc04/kf/Hdbbb6a106e8d4515be692063768d8fd4J.png_100x100.png?webp=close&avif=close","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-3","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Solilan Himalayan Shilajit Gold Gummies for Adults Energy Management & Immune Support 60 Count Gummy Candy","Zhengzhou Shulilan Pharmaceutical Technology Co., Ltd.","1 yr","Min. order: 500 units","26% reorder rate","","for","","≤1h response time","","101 sold","","$2.70","","5.0","5-day dispatch","5.0/5.0","(19)","","CN","Chat now","Add to cart","10% off","","","certified","","Ad","","https://s.alicdn.com/@sc04/kf/H64095403ee124d8d9841423db4ee13d6Z.jpg_300x300.jpg","","","https://s.alicdn.com/@img/imgextra/i2/O1CN01pZsS7S1RAZFleCw0N_!!6000000002071-2-tps-33-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@sc04/kf/Haef259c4e6174b0e820f05108e54bfca7.png_100x100.png?webp=close&avif=close","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-4","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","WXW Stock Male Power Enhancement Maca Gummies Adult Energy Gummy Candy Herbal Supplement Male Enlargement Gummies","Guangzhou Shumida Biotechnology Co., Ltd.","8 yrs","Min. order: 500 units","200+ store reviews","$1.60-1.72","Enhancement","","14% reorder rate","","","≤11h response time","","","4.3","","4.3/5.0","(5)","","CN","Chat now","","","","","certified","","","","https://s.alicdn.com/@sc04/kf/Hc9d4a8c39f4d44e0a41bbd4d0e3b91aeF.jpg_300x300.jpg","https://s.alicdn.com/@sc04/kf/H9e316f0373844056acf91c8021d77469z.png_100x100.png?webp=close&avif=close","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-5","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","BIYODE Enhance Male Sexual Function Prostate Care Soft Candy Vitality Soft Candy for Male Vitamin-Enriched Herbal Soft Candy","New Power Source Technology Industry (guangzhou) Co., Ltd.","2 yrs","Min. order: 1 piece","50+ store reviews","","Enhance","Sexual","15% reorder rate","for","2 sold","≤1h response time","$3.70","","4.6","","4.6/5.0","(51)","Lower priced than similar","CN","Chat now","Add to cart","5% off","","","","Lower priced than similar","","","https://s.alicdn.com/@sc04/kf/H83344d3dca914437b097848c2b7bdc8az.jpg_300x300.jpg","","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","https://s.alicdn.com/@sc01/kf/He15f3630b6674cb697c45c43f49fc3752.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-6","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","OEM/ODM Herbal Sexual Libido Enhance Sweet Sugar Instant Coffee for Men in Bag","Fuzhou Cangshan District Kaidile Trading Firm (Sole Proprietorship)","1 yr","Min. order: 50 boxes","22% reorder rate","$1.59-1.68","Sexual","Enhance","≤1h response time","for","","","","","","Easy Return","","","","CN","Chat now","","","","","","","","","https://s.alicdn.com/@sc04/kf/H6231205bb48b4ea68392b05386497519q.jpg_300x300.jpg","","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-7","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Factory Supply OEM Horny Goat Weed Maca Epimedium Icariin Herbal Supplement Gummies Libido Support for Women Adult Dosage","Shaanxi Jinglian Guangtai Biotechnology Co., Ltd.","1 yr","Min. order: 100 pieces","≤4h response time","$2.05-2.34","for","","","","","","","","","","","","","CN","Chat now","","","","","","","","","https://s.alicdn.com/@sc04/kf/H5c919d2443854fdeb16baac85dd3b5923.png_300x300.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-8","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Bulk Men's Health Supplement Male Enhancement Gummies Natural Vitality & Stamina Support with Ginseng Men's Vitality Gummy Candy","Guangzhou Jiabei Health Biotechnology Co., Ltd.","3 yrs","Min. order: 200 pieces","300+ store reviews","$1.50-3","Enhancement","","44% reorder rate","","","≤2h response time","","","4.6","","4.6/5.0","(101)","","CN","Chat now","","","","","certified","","","","https://s.alicdn.com/@sc04/kf/Hd6671a53c45d4850861c5ace9dff0f92l.png_300x300.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/Haef259c4e6174b0e820f05108e54bfca7.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-9","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Sweet Men's Power Coffee Herbal Sexual Enhancement Powder with Sugar Flavor Packaged in a Bag","Shanxi Huatian Biotechnology Co., Ltd.","2 yrs","Min. order: 500 bags","200+ store reviews","$1.71-1.91","Sexual","Enhancement","23% reorder rate","","","≤2h response time","","","4.9","","4.9/5.0","(66)","5% off $2,000","CN","Chat now","","","","","certified","5% off $2,000","","","https://s.alicdn.com/@sc04/kf/H10dd3ee3b23f45f2b628ae0b53e07a7au.jpg_300x300.jpg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01mhQx6j25bfQson9wW_!!6000000007545-2-tps-56-56.png","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/Haef259c4e6174b0e820f05108e54bfca7.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01mhQx6j25bfQson9wW_!!6000000007545-2-tps-56-56.png","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523789-10","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Aromlife Factory Directly Hot Selling Gorontula Yoni Sugar Candy Women Increase Pleasure Libido Pour Homme From Factory","Shaanxi Chinaherbs Medical Technology Co.,ltd","4 yrs","Min. order: 100 bags","2000+ store reviews","$0.50-0.90","","","19% reorder rate","","93 sold","100+ views from North America","","≤6h response time","4.8","","4.8/5.0","(48)","","CN","Chat now","","","","","certified","","","","https://s.alicdn.com/@sc04/kf/H0cb9e11a0e474ef9ab55e78fb9ab211fv.png_300x300.png","https://s.alicdn.com/@sc04/kf/H49c99d6bb2e64749ad9b3f8eac655fcfR.png_100x100.png?webp=close&avif=close","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
