web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,price,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17
"1773523835-1","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Male Support Soft Candy Daily Full of Vitality Supplement Gentle Care Boost Energy with Maca Root Muir Puama Horny Goat Extract","Fuzhou City Gulou District Zongzongmi Food Firm (individual Business)","1 yr","Min. order: 50 pieces","≤2h response time","$3.69","","","","","","","","","","","Easy Return","CN","Chat now","Add to cart","","","","","","Easy Return","https://s.alicdn.com/@sc04/kf/H4719ce4910914ff7aa61d96e027c8ebe8.jpg_300x300.jpg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01Qlzniu1tBJAdJ8zsY_!!6000000005863-2-tps-283-45.png?webp=close&avif=close","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png"
"1773523835-2","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","ODM/OEM Multivitamin Made Enhancement Pleasure Gummies Maca Gummies Horny Goat Gummies Kidney Nutritons","Norlish International Trade (Gansu) Co., Ltd.","1 yr","Min. order: 500 units","30% reorder rate","$2.90-3.50","Enhancement","","≤1h response time","","","","","4.8","4.8/5.0","(10)","","CN","Chat now","","","","","","","","https://s.alicdn.com/@sc04/kf/H5ebbd6e09d6d42ac90466c9de433adabj.jpg_300x300.jpg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773523835-3","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Usa Hot Selling Royal Honey Dragon Choco Powder for Men Chocolate for Male Power Men's Energy Mixed Container","Shaanxi Huiting Times Health Technology Co., Ltd.","1 yr","Min. order: 100 boxes","9% reorder rate","$5.64-9.90","for","Chocolate","≤3h response time","for","","","","4.6","4.6/5.0","(10)","","CN","Chat now","","","","","","","","https://s.alicdn.com/@sc04/kf/H37054159ee5e4de1b3f15786f7016bbdy.png_300x300.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773523835-4","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","WXW Stock Male Enhancement Dominator Energy Gummies Male&female Enhancement Gummy Male Enhancement Rhodiola Panax Ginseng Gummy","US Institute of Natural Supplements and Pharmaceutical Inc","1 yr","Min. order: 3 pieces","≤4h response time","$1.72-2.16","Enhancement","Enhancement","","Enhancement","","","","","","","","US","Chat now","","","","","","","","https://s.alicdn.com/@sc04/kf/Hc5176c1bec364204afb6116b3a6cd547O.jpg_300x300.jpg","","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/us.png","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773523835-5","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Men's Extract Gummies Dietary Nutrition Supplements MASSIVEGIRTH Gummies Enlargement and Enhancement Lasting Longer and Stronger","Shaanxi Ruixiang Yaokang Import and Export Co., Ltd.","1 yr","Min. order: 10 boxes","≤1h response time","$2.29-2.71","Enhancement","","","","","","","5.0","5.0/5.0","(1)","","CN","Chat now","","","","","","","","https://s.alicdn.com/@sc04/kf/H8ff3c8a8900a484089bc6557d4843d44g.png_300x300.png","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773523835-6","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Custom Men's Libido Enhancement Gummies - OEM/ODM, Natural Extracts","Guangzhou Famous Wonderful Biological Co., Ltd.","1 yr","Min. order: 5000 pieces","≤8h response time","$0.66-0.88","Enhancement","","","","","","","4.3","4.3/5.0","(22)","","CN","Chat now","","","","","","","","https://s.alicdn.com/@sc04/kf/Ha9d412cd2b09479ba2e0defba0d96279C.jpg_300x300.jpg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773523835-7","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Hot Selling Men's Delay Cream & Spray Long Time Sex Enhancement Product","Guangxi Mingrun Trading Co., Ltd.","1 yr","Min. order: 2 pieces","33% reorder rate","$4.83-4.85","Enhancement","","≤1h response time","","","","","","","","","CN","Chat now","","","","","Easy Return","Ad","","https://s.alicdn.com/@sc04/kf/Hcf816cb02bcc477ea7a89e01d7017618f.jpg_300x300.jpg","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773523835-8","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Women's Libido Booster Tea Sexual Desire Health Natural Organic Herbs for Enhanced Intimacy and Desire","Guangzhou Zengcheng District Menghuasi Tea Trade Co., Ltd.","2 yrs","Min. order: 20 pieces","700+ store reviews","$1.99-2.30","Sexual","for","12% reorder rate","Enhanced","≤3h response time","","","4.8","4.8/5.0","(81)","Easy Return","CN","Chat now","","","","","","","Easy Return","https://s.alicdn.com/@sc04/kf/Ha1c26e58be0e4b3b9f95ca6d4c17a861W.png_300x300.png","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png"
"1773523835-9","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","OEM Male Boost Stamina Supplement Horny Goat Weed Gummies Boost Energy Male Enhancement Gummies","Xi'an Tianlangyuan Biotech Co., Ltd.","2 yrs","Min. order: 100 boxes","25% reorder rate","$2.90-4.20","Enhancement","","100+ views from North America","","≤2h response time","","","4.7","4.7/5.0","(23)","","CN","Chat now","","","","certified","","","","https://s.alicdn.com/@sc04/kf/H50afa808512a4128a67cc07e8819c56es.jpg_300x300.jpg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","https://s.alicdn.com/@sc04/kf/Haef259c4e6174b0e820f05108e54bfca7.png_100x100.png?webp=close&avif=close","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg",""
"1773523835-10","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Women Sex Enhancement Liquid for Women Orgasm Vagina Tightening Increase Female Libido Sexual Stimulant","Shanxi Nanxuelei Biological Technology Co., Ltd.","6 yrs","Min. order: 10 pieces","2700+ store reviews","$0.81-1.99","Enhancement","for","12% reorder rate","Sexual","≤10h response time","","","4.3","4.3/5.0","(1081)","Easy Return","CN","Chat now","Add to cart","","","","","","Easy Return","https://s.alicdn.com/@sc04/kf/Hce6fe1a67f454d7a95f64d39114b3396C.jpg_300x300.jpg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png"
