web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,price,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,price2,price3,data20,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16
"1773523698-1","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Sexual Enhancement Chocolate for Men Choco Royal Wholesale Gift Boxes for Choco Royal Chocolate Vip Uv Coated Embossing","Guangzhou Yinchuang Trading Co., Ltd.","1 yr","Min. order: 108 boxes","100+ store reviews","$5.50-7.50","Sexual","Enhancement","11% reorder rate","19 sold","100+ views from North America","Chocolate","for","≤2h response time","Chocolate","4.7","4.7/5.0","(108)","Chat now","for","","","","Easy Return","","","","CN","","https://s.alicdn.com/@sc04/kf/H5aca7c31dd7e4cd9a4f75dde2087c2c8d.jpg_300x300.jpg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-2","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Wholesale Rhino Choco Royal Chocolate VIP Male Enhancement - Custom Packaging OEM","Shenzhen Tuanzun Technology Co., Ltd.","1 yr","Min. order: 576 bags","46% reorder rate","$0.80","Chocolate","Enhancement","≤10h response time","","","","","","","4.0","4.0/5.0","(4)","Chat now","","","","","Easy Return","","","","CN","","https://s.alicdn.com/@sc04/kf/H7178769129c44697840192d914ca6793z.jpg_300x300.jpg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","https://s.alicdn.com/@img/imgextra/i4/O1CN01QUhXLX1lDaB0DYt9b_!!6000000004785-2-tps-34-34.png","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-3","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Male Enlargement Chocolate Herbal Supplement Aphrodisiac Exciting Chocolate Long-lasting Endurance","Xi An Hao Baby Trading Co., Ltd.","8 yrs","Min. order: 1000 pieces","300+ store reviews","$2.05-3.80","Chocolate","Chocolate","30% reorder rate","40 sold","200+ views from North America","","","≤1h response time","","4.4","4.4/5.0","(32)","Chat now","","","","","","","","","CN","","https://s.alicdn.com/@sc04/kf/Hbe6cb4dca53f4fa3aa22fd7e50a3b06fz.png_300x300.png","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-4","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Hot Sale Royal Choco Black Chocolate Enhance Sexual Function for Men Herbal Extract Large Pack of 12 Pieces 10Gram Each","Guangxi Maiyue International Technology Co., Ltd.","1 yr","Min. order: 1 box","200+ store reviews","$4.90-6.30","Chocolate","Enhance","14% reorder rate","69 sold","500+ views from North America","Sexual","for","≤5h response time","","4.7","4.7/5.0","(118)","Chat now","","","","","","","","","CN","","https://s.alicdn.com/@sc04/kf/H578db35621b1404f82ad6713bf57a0efc.png_300x300.png","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-5","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Wholesale Enhancement Men's Energy Rhino Chocolate for Men Royal Choco","Xi'an Kanglin Biotechnology Co., Ltd.","1 yr","Min. order: 1 box","8% reorder rate","$5.99-10.95","Enhancement","Chocolate","200+ views from North America","1 sold","≤3h response time","for","","","","4.6","4.6/5.0","(7)","Chat now","","","","","","","","","CN","","https://s.alicdn.com/@sc04/kf/H1315c5ae5a024cce9d3f85bce6c18f89N.jpg_300x300.jpg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-6","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Premium Male Performance Chocolate Libido Boost & Stamina Enhancement Delicious Cocoa-Based Supplement Custom Formula Bulk","Guangzhou Yocare Health Industry Co., Ltd.","1 yr","Min. order: 5000 boxes","16% reorder rate","$0.50-1","Chocolate","Enhancement","200+ views from North America","","≤11h response time","","","","","5.0","5.0/5.0","(2)","Chat now","","","","","","","certified","","CN","","https://s.alicdn.com/@sc04/kf/H47427e1f2bcb4190b51289a165808975u.png_300x300.png","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@sc04/kf/Haef259c4e6174b0e820f05108e54bfca7.png_100x100.png?webp=close&avif=close","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-7","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Black Royal VIP Maca Chocolate Bars Supports Male Prostate Health Boosts Energy & Vitality Enhances Libido Customizable Gift Box","Guangxi Xingyao Chuangsheng Biotechnology Co., Ltd.","1 yr","Min. order: 100 bags","31% reorder rate","$6-7.50","Chocolate","Enhances","","","","","","","","4.4","4.4/5.0","(34)","Chat now","","","","","","","","","CN","","https://s.alicdn.com/@sc04/kf/H7f2758a3f8774ec6bd678d85a2f5fe38L.jpg_300x300.jpg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-8","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","OEM Custom Formula Men's Natural Adult Male Herbal Supplement Exciting Chocolate Aphrodisiac Herbal Chocolate","Kelaien Food Technology (foshan) Co., Ltd.","1 yr","Min. order: 10 boxes","14% reorder rate","$2.50-3.50","Chocolate","Chocolate","600+ views from North America","828 sold","≤2h response time","","","","","4.5","4.5/5.0","(4)","Chat now","","","","5% off $2,000","","certified","","5% off $2,000","CN","","https://s.alicdn.com/@sc04/kf/H420a484953b74b84a3295135c2a99450X.jpg_300x300.jpg","https://s.alicdn.com/@img/imgextra/i3/O1CN01mhQx6j25bfQson9wW_!!6000000007545-2-tps-56-56.png","","","https://s.alicdn.com/@sc04/kf/Hdbbb6a106e8d4515be692063768d8fd4J.png_100x100.png?webp=close&avif=close","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","https://s.alicdn.com/@img/imgextra/i4/O1CN01ZQqlCv1icMsN1gizu_!!6000000004433-2-tps-172-64.png?webp=close&avif=close","https://s.alicdn.com/@img/imgextra/i3/O1CN01mhQx6j25bfQson9wW_!!6000000007545-2-tps-56-56.png","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i2/O1CN01lUQbI41ymTPgE2qXM_!!6000000006621-55-tps-12-10.svg","https://s.alicdn.com/@sc01/kf/H62868c75e7eb4fbba8f8eb600d749c2aR.png","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-9","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Herbal Supplement Aphrodisiac Exciting Chocolate OEM Custom Formula Men's Natural Adult Male Chocolate","AURAWELL BIOTECHNOLOGY LIMITED","1 yr","Min. order: 5 pieces","11% reorder rate","$6.99-7.39","Chocolate","Chocolate","200+ views from North America","","≤1h response time","","","","","4.9","4.9/5.0","(8)","Chat now","","","","","","","","","HK","","https://s.alicdn.com/@sc04/kf/H220dd2a997154803bdd4b9dbc10c2cbev.jpg_300x300.jpg","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/hk.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
"1773523698-10","https://www.alibaba.com/search/page?spm=a2700.prosearch.the-new-header_fy23_pc_search_bar.associationItem_pos_4&SearchScene=proSearch&SearchText=chocolates+for+sexual+enhancement&pro=true&from=pcHomeContent","Wholesale Hot Sale High Quality Rhino Chocolate for Men Enhancement","Shaanxi Jialinhui Trading Co., Ltd.","1 yr","Min. order: 1 box","100+ store reviews","$5.99-10.95","Chocolate","for","22% reorder rate","21 sold","≤2h response time","Enhancement","","","","4.7","4.7/5.0","(13)","Chat now","","","","","","","","","CN","","https://s.alicdn.com/@sc04/kf/Hd45e1546dbce440bac7bd8caed578018v.png_300x300.png","","","","","https://s.alicdn.com/@img/imgextra/i1/O1CN01H0fqnK1Gpp8Bpra4W_!!6000000000672-55-tps-20-21.svg","","","","https://s.alicdn.com/@u/mobile/g/common/flags/1.0.0/assets/cn.png","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i3/O1CN01Bv2erf1UtOvnQdp1D_!!6000000002575-55-tps-12-10.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg","https://s.alicdn.com/@img/imgextra/i1/O1CN01skevju1mJMrEIZqWk_!!6000000004933-55-tps-21-21.svg"
